CustomerNumber,CustomerName,StreetName,City,State,ZIP,Country,,,,,,,,,
1000556,PANADERIA MEXICAN CI,8416 SE 32ND AVE,PORTLAND,OR,97222-9205,USA,,,,,,,,,
1000565,JENN'S SWEETCAKES,29922 113TH PL SE,AUBURN,WA,98092-2052,USA,,,,,,,,,
1000567,YUMMIES DONUTS CAKE,8042 PACIFIC AVE,TACOMA,WA,98404-5825,USA,,,,,,,,,
1000571,OLYMPIC MT ICE CREAM,301 E WALLACE KNEELAND BLVD,SHELTON,WA,98584-2987,USA,,,,,,,,,
1000573,TIGARD DONUT,13815 SW PACIFIC HWY,TIGARD,OR,97223-4802,USA,,,,,,,,,
1000575,LY'S DONUTS,4336 ROOSEVELT WAY NE  F,SEATTLE,WA,98105-4764,USA,,,,,,,,,
1000578,CHALET DESSERTS INC,2701 LAND AVE,SACRAMENTO,CA,95815-1833,USA,,,,,,,,,
1000579,TOLLGATE INN BAKERY,38050 HIGHWAY 26,SANDY,OR,97055-6550,USA,,,,,,,,,
1000581,LUCAS FOODS,7272 SW DURHAM RD,PORTLAND,OR,97224-7569,USA,,,,,,,,,
1000582,MRS FIELDS COOKIES 5,985 SOUTHCENTER MALL,TUKWILA,WA,98188-2822,USA,,,,,,,,,
1000583,HENRY'S DONUTS - EVE,2515 BROADWAY,EVERETT,WA,98201-3020,USA,,,,,,,,,
1000584,NOSH AWAY INC,1001 S MYRTLE ST,SEATTLE,WA,98108-3527,USA,,,,,,,,,
1000585,VALLEY HARVEST,28855 MILITARY RD S,FEDERAL WAY,WA,98003-7912,USA,,,,,,,,,
1000586,ROCKET DONUTS,306 W HOLLY ST,BELLINGHAM,WA,98225-4314,USA,,,,,,,,,
1000587,MADISON PARK BAKERY,4214 E MADISON ST,SEATTLE,WA,98112-3237,USA,,,,,,,,,
1000594,WESTERNCO DONUT - BE,1412 156TH AVE NE,BELLEVUE,WA,98007-4414,USA,,,,,,,,,
1000596,KEN COOPER,32504 181ST AVE SE,AUBURN,WA,98092-9111,USA,,,,,,,,,
1000597,SWEET DREAMS,90724 DALEWOOD DR,JUNCTION CITY,OR,97448-9552,USA,,,,,,,,,
1000599,SARAH'S COOKIES,5717 NE 105TH AVE,PORTLAND,OR,97220-1156,USA,,,,,,,,,
1000602,LEE'S DONUTS,1950 ECHO HOLLOW RD,EUGENE,OR,97402-7008,USA,,,,,,,,,
